cnf,solution,abcdsat-2015,berkmin-2003,boehm1-1992,cadical-2019,chaff-2001,cryptominisat-fixed-2010,glucose-2011,glucose-2012,grasp-1997,kissat-2020,kissat-mab-2021,kissat-mab-hywalk-2022,limmat-2002,lingeling-2013,lingeling-2014,maple-comsps-drup-2016,maple-lcm-disc-cb-dl-v3-2019,maple-lcm-dist-2017,maple-lcm-dist-cb-2018,minisat-2006,minisat-2008,posit-fixed-1995,precosat-2009,rsat-fixed-2007,satelite-gti-2005,sbva-cadical-2023,zchaff-2004
manthey_single-ordered-initialized-w48-b7,UNSATISFIABLE,917.01,2077.31,FAILED,1510.65,FAILED,1366.99,566.88,746.06,FAILED,961.14,1128.21,1098.71,FAILED,1219.97,1714.57,429.38,775.48,484.56,474.15,4314.84,1119.09,FAILED,1178.28,FAILED,3094.82,876.86,FAILED
manthey_single-ordered-initialized-w48-b8,SATISFIABLE,21.05,109.98,FAILED,86.73,3741.34,34.54,44.58,42.23,FAILED,11.39,46.50,21.16,149.63,32.38,61.63,1.70,99.42,51.62,177.61,530.32,59.05,FAILED,1.74,78.75,132.95,95.48,267.90
manthey_single-ordered-initialized-w48-b9,UNSATISFIABLE,3928.53,FAILED,FAILED,2427.31,FAILED,2130.73,1494.42,1496.72,FAILED,1590.89,1803.79,1932.94,FAILED,2553.23,3846.19,823.28,1337.34,914.53,1052.30,FAILED,1959.17,FAILED,2966.19,FAILED,FAILED,1329.83,FAILED
manthey_single-ordered-initialized-w50-b6,UNSATISFIABLE,749.12,1212.35,FAILED,905.10,FAILED,651.19,286.02,403.33,FAILED,584.17,670.93,650.86,FAILED,733.98,717.68,289.90,422.39,347.40,336.03,1519.65,515.29,FAILED,638.52,2704.43,1640.34,608.60,FAILED
manthey_single-ordered-initialized-w50-b7,UNSATISFIABLE,1946.13,3432.62,FAILED,2453.70,FAILED,2658.69,1015.25,1250.72,FAILED,1577.64,1654.59,1964.93,FAILED,1993.91,3010.75,658.94,927.39,713.67,779.73,FAILED,1957.14,FAILED,1982.89,FAILED,FAILED,2019.99,FAILED
manthey_single-ordered-initialized-w52-b6,UNSATISFIABLE,643.51,1910.70,FAILED,1418.76,FAILED,1346.28,500.24,667.67,FAILED,1155.26,900.85,936.15,FAILED,1141.76,1256.25,401.34,738.84,475.07,517.01,4004.89,1153.34,FAILED,1105.57,FAILED,4337.72,1075.31,FAILED
manthey_single-ordered-initialized-w54-b9,SATISFIABLE,18.17,30.04,FAILED,10.31,558.00,207.79,82.15,84.58,FAILED,83.17,18.48,19.06,99.67,207.64,131.40,350.50,72.38,258.51,38.29,499.31,33.00,FAILED,16.76,3.97,1065.76,23.96,1388.48
marg2x2.shuffled-as.sat03-1440,UNSATISFIABLE,0.01,0.01,0.01,0.01,0.01,0.01,0.12,0.02,0.01,0.01,0.01,0.02,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,1.29,0.17,0.01,0.20,0.01
marg2x4.shuffled-as.sat03-1442,UNSATISFIABLE,0.03,0.04,0.01,0.02,0.02,0.01,0.02,0.06,1.93,0.03,0.03,0.04,0.04,0.05,0.04,0.03,0.11,0.06,0.11,0.03,0.03,0.03,2.01,0.04,0.02,0.23,0.02
marg2x5.shuffled-as.sat03-1443,UNSATISFIABLE,0.09,0.16,0.07,0.04,0.09,0.01,0.10,0.12,2867.06,0.22,0.23,0.13,1.19,0.14,0.10,0.12,0.97,0.87,0.87,0.09,0.08,0.23,0.26,0.12,0.10,0.48,0.11
marg2x6.shuffled-as.sat03-1444,UNSATISFIABLE,0.34,0.06,0.49,0.05,0.94,0.01,0.09,0.08,FAILED,0.04,0.05,0.04,52.56,0.09,0.14,0.08,2.32,2.47,2.52,0.26,0.50,1.92,0.05,0.07,0.09,0.36,0.07
marg2x7.shuffled-as.sat03-1445,UNSATISFIABLE,0.09,0.10,3.25,0.09,1.90,0.01,0.08,0.05,FAILED,0.19,0.27,0.22,27.89,0.49,0.40,0.07,4.46,1.83,1.85,0.16,0.27,14.25,0.07,0.07,0.17,0.32,0.19
marg3x3.shuffled-as.sat03-1450,UNSATISFIABLE,0.07,0.22,0.09,0.06,0.19,0.01,0.07,0.07,2900.23,0.15,0.13,0.08,0.14,0.10,0.26,0.15,1.46,1.44,1.44,0.08,0.15,0.21,0.25,0.05,0.05,0.29,0.16
marg3x3add4.shuffled-as.sat03-1446,UNSATISFIABLE,0.22,0.18,0.71,0.13,0.27,0.03,0.13,0.11,1389.12,0.48,0.38,0.26,1.72,0.50,1.03,0.16,1.32,1.21,1.23,0.37,0.42,4.24,1.22,0.86,0.28,0.32,0.59
marg3x3add4d1.shuffled-as.sat03-1447,UNSATISFIABLE,0.10,0.10,0.39,0.07,0.21,0.01,0.11,0.14,FAILED,0.13,0.14,0.10,5.82,0.21,0.18,0.12,1.27,1.12,1.22,0.19,0.14,1.75,0.27,0.09,0.09,0.39,0.21
marg3x3add8.shuffled-as.sat03-1449,UNSATISFIABLE,0.55,0.64,15.95,0.18,4.51,0.01,0.28,0.26,FAILED,0.21,0.19,0.14,9.08,0.23,1.22,0.40,1.53,1.44,1.65,0.90,1.83,53.83,0.37,1.34,0.89,0.44,1.13
marg3x3add8ch.shuffled-as.sat03-1448,UNSATISFIABLE,1.13,940.12,15.21,1.05,130.79,0.03,1.27,1.68,FAILED,1.53,0.39,0.37,1523.02,1.33,1.09,1.34,2.15,2.05,2.06,1.65,6.85,62.45,1.73,44.50,2.18,1.68,80.07
marg3x4.shuffled-as.sat03-1451,UNSATISFIABLE,1.61,3.26,16.27,0.59,2.37,0.01,0.97,1.26,FAILED,0.96,0.89,0.85,411.39,0.53,0.38,1.66,3.01,2.77,2.85,1.84,6.20,60.78,1.00,57.20,1.72,3.52,4.44
marg3x5.shuffled-as.sat03-1452,UNSATISFIABLE,8.18,FAILED,3739.57,19.77,471.62,0.01,23.47,5.04,FAILED,49.24,6.39,6.40,FAILED,0.71,0.64,6.47,43.63,44.64,45.91,43.71,118.41,FAILED,40.65,510.82,23.72,27.42,964.96
marg4x4.shuffled-as.sat03-1454,UNSATISFIABLE,21.42,FAILED,FAILED,122.68,827.33,0.03,14.08,19.31,FAILED,182.47,148.36,147.14,FAILED,0.66,0.45,20.76,39.25,76.19,78.17,70.26,195.77,FAILED,114.96,1292.70,55.47,34.66,FAILED
marg5x5.shuffled-as.sat03-1455,UNSATISFIABLE,FAILED,FAILED,FAILED,FAILED,FAILED,0.01,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,0.83,0.69,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED
marg6x6.shuffled-as.sat03-1456,UNSATISFIABLE,FAILED,FAILED,FAILED,FAILED,FAILED,0.01,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,1.09,0.99,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED
marg6x6.shuffled-as.sat03-1456.cnf.mis-119.debugged,UNKNOWN,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED
marijn-philips,UNSATISFIABLE,106.14,4800.47,77.02,382.70,FAILED,1006.93,734.90,1039.99,FAILED,385.36,450.03,455.54,FAILED,690.02,993.39,355.74,579.19,404.16,415.00,435.86,1596.74,169.25,1430.81,FAILED,390.16,456.33,FAILED
maxand128,UNSATISFIABLE,9.72,FAILED,FAILED,38.00,FAILED,33.36,43.08,25.05,FAILED,23.07,17.80,14.46,FAILED,26.79,39.27,88.27,28.03,371.94,149.44,188.33,149.57,FAILED,13.38,216.22,FAILED,95.25,1231.86
